Matricula,Nome Aluno,Email Aluno,Arquitetura e Organização de Computadores,Algoritmos e Lógica de Programação,Banco de Dados,Laboratório de Banco de Dados,Inteligência Artificial,Redes de Computadores,Segurança da Informação,Sistemas de Informação
1001,Aluno1,aluno1@example.com,80,85,65,70,90,95,55,75
1002,Aluno2,aluno2@example.com,90,88,75,80,85,88,60,80
1003,Aluno3,aluno3@example.com,60,55,85,80,92,75,88,55
1004,Aluno4,aluno4@example.com,85,90,75,85,75,65,90,85
1005,Aluno5,aluno5@example.com,70,80,95,65,58,80,78,82
1006,Aluno6,aluno6@example.com,88,75,80,92,60,55,85,70
1007,Aluno7,aluno7@example.com,90,82,70,65,75,88,55,90
1008,Aluno8,aluno8@example.com,62,55,85,72,90,70,88,60
1009,Aluno9,aluno9@example.com,78,80,65,72,88,90,72,85
1010,Aluno10,aluno10@example.com,82,70,80,90,55,68,85,78
1011,Aluno11,aluno11@example.com,65,85,70,68,85,75,90,80
1012,Aluno12,aluno12@example.com,75,90,85,78,90,82,65,75
1013,Aluno13,aluno13@example.com,85,60,58,82,75,65,85,90
1014,Aluno14,aluno14@example.com,92,75,65,85,80,72,90,75
1015,Aluno15,aluno15@example.com,70,78,75,60,55,90,82,75
1016,Aluno16,aluno16@example.com,85,70,80,78,90,65,55,82
1017,Aluno17,aluno17@example.com,92,88,60,82,75,72,85,90
1018,Aluno18,aluno18@example.com,65,92,75,78,85,85,72,60
1019,Aluno19,aluno19@example.com,78,80,90,55,62,75,80,90
1020,Aluno20,aluno20@example.com,85,75,80,68,90,85,75,60
1021,Aluno21,aluno21@example.com,90,82,65,72,88,75,90,85
1022,Aluno22,aluno22@example.com,72,85,72,80,55,65,85,72
1023,Aluno23,aluno23@example.com,65,70,82,90,85,75,60,55
1024,Aluno24,aluno24@example.com,90,85,75,80,75,90,68,85
1025,Aluno25,aluno25@example.com,72,80,60,75,55,85,70,80
1026,Aluno26,aluno26@example.com,85,75,92,68,80,70,90,60
1027,Aluno27,aluno27@example.com,60,55,88,90,75,65,82,75
1028,Aluno28,aluno28@example.com,75,60,70,82,65,80,55,90
1029,Aluno29,aluno29@example.com,82,75,90,55,72,85,90,68
1030,Aluno30,aluno30@example.com,65,80,75,60,90,72,85,75
1031,Aluno31,aluno31@example.com,75,90,80,78,55,82,65,90
1032,Aluno32,aluno32@example.com,85,70,65,80,90,60,75,82
1033,Aluno33,aluno33@example.com,92,85,72,65,85,75,80,55
1034,Aluno34,aluno34@example.com,70,80,55,88,60,90,75,82
1035,Aluno35,aluno35@example.com,85,75,80,90,72,80,65,75
1036,Aluno36,aluno36@example.com,62,55,90,70,85,85,90,68
1037,Aluno37,aluno37@example.com,75,60,80,68,55,90,78,75
1038,Aluno38,aluno38@example.com,80,75,70,82,90,60,85,55
1039,Aluno39,aluno39@example.com,65,80,65,72,75,85,90,80
1040,Aluno40,aluno40@example.com,70,90,85,80,88,75,62,85
1041,Aluno41,aluno41@example.com,85,72,90,78,65,80,90,55
1042,Aluno42,aluno42@example.com,90,85,65,60,55,85,75,90
1043,Aluno43,aluno43@example.com,70,80,80,72,75,60,85,80
1044,Aluno44,aluno44@example.com,85,75,72,90,80,75,55,72
1045,Aluno45,aluno45@example.com,90,65,85,75,60,80,90,65
1046,Aluno46,aluno46@example.com,70,72,90,60,90,85,65,85
1047,Aluno47,aluno47@example.com,85,85,65,90,80,60,80,75
1048,Aluno48,aluno48@example.com,90,80,72,55,65,90,78,80
1049,Aluno49,aluno49@example.com,70,75,85,72,70,85,90,55
1050,Aluno50,aluno50@example.com,85,60,90,68,55,80,80,68
